instrument_id,display_name,type,structural,structural_flag,convergent,convergent_flag,crit_reference,crit_reference_flag,crit_organisational,crit_organisational_flag,internal_consistency,internal_consistency_flag,test_retest,test_retest_flag,invariance,invariance_flag,responsiveness,responsiveness_flag,populations,populations_flag,licence_class,licence_verified,n_citations,dataset_version,rubric_version
mbi,"Maslach Burnout Inventory (MBI, workplace forms)",multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Moderate,direct,High,direct,Low,direct,Moderate,direct,Low,direct,Moderate,direct,fee-bearing,2026-07-12,22,0.8.0,1.5
cbi,Copenhagen Burnout Inventory (CBI),multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Moderate,direct,High,direct,Absent,population-general,Low,direct,Very low,direct,Moderate,direct,free-no-permission,2026-07-12,8,0.8.0,1.5
olbi,Oldenburg Burnout Inventory (OLBI),multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Absent,population-general,Moderate,direct,Low,direct,Low,direct,Absent,population-general,Low,direct,free-non-commercial,"2026-07-12 (verified against secondary instrument-database descriptions, not an official steward page, because none exists)",14,0.8.0,1.5
wai,Work Ability Index (WAI),multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,High,direct,Moderate,direct,Moderate,direct,Absent,population-general,Absent,population-general,Moderate,direct,unverified,"not verified this session, FIOH (ttl.fi) and BAuA (baua.de) steward pages returned server-side 403 blocks to automated retrieval; the reachable WAI-Netzwerk portal (waiplus.online) markets a commercial service and does not state questionnaire licence terms",22,0.8.0,1.5
was,"Work Ability Score (WAS), single-item",single-item,Not-applicable,category-error,Moderate,direct,Absent,category-error,Moderate,direct,Not-applicable,category-error,Low,direct,Not-applicable,category-error,Low,direct,Moderate,direct,unverified,"not verified this session, FIOH (ttl.fi) and BAuA (baua.de) steward pages returned server-side 403 blocks to automated retrieval; the reachable WAI-Netzwerk portal (waiplus.online) markets a commercial service and does not state questionnaire licence terms",14,0.8.0,1.5
wpai,Work Productivity and Activity Impairment questionnaire (WPAI),multi-item-scale,Not-applicable,category-error,Moderate,indirect,Absent,category-error,Absent,population-general,Not-applicable,category-error,Low,indirect,Absent,population-general,Moderate,indirect,Moderate,indirect,unverified,not verified this session (steward domain reached but current licence page returned HTTP 403; full terms could not be read directly on 2026-07-12),9,0.8.0,1.5
ipaq-sf,"International Physical Activity Questionnaire, Short Form (IPAQ-SF)",multi-item-scale,Not-applicable,category-error,Moderate,indirect,Moderate,indirect,Absent,population-general,Not-applicable,category-error,Moderate,general,Very low,general,Low,direct,Moderate,indirect,open,2026-07-12,11,0.8.0,1.5
isi,Insomnia Severity Index (ISI),multi-item-scale,Moderate,direct,Moderate,general,High,general,Absent,population-general,High,direct,Moderate,indirect,Moderate,direct,Moderate,indirect,Moderate,direct,fee-bearing,2026-07-12,20,0.8.0,1.5
miss,Minimal Insomnia Symptom Scale (MISS),multi-item-scale,Low,general,Very low,general,Low,general,Absent,population-general,Low,indirect,Absent,population-general,Very low,indirect,Absent,population-general,Low,general,no-formal-licence,2026-07-12,5,0.8.0,1.5
tis-6,"Turnover Intention Scale-6 (TIS-6, Roodt)",multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Moderate,direct,Moderate,direct,Absent,population-general,Absent,population-general,Absent,population-general,Moderate,direct,open,2026-07-12,10,0.8.0,1.5
csps-wellbeing,Civil Service People Survey: wellbeing and engagement items,item-set,Very low,direct,Very low,direct,Absent,population-general,Low,direct,Not-applicable,category-error,Absent,population-general,Absent,population-general,Absent,population-general,Moderate,direct,open,2026-07-12,7,0.8.0,1.5
eurofound-ewcs,Eurofound EWCS/EQLS wellbeing and working-conditions item sets,item-set,Moderate,direct,Moderate,general,Moderate,general,Low,direct,Low,indirect,Absent,population-general,Low,direct,Very low,direct,Moderate,direct,free-with-registration,2026-07-12,7,0.8.0,1.5
fcs-maps,Financial Capability / Financial Wellbeing Survey items (MaPS),item-set,Very low,general,Low,general,Absent,category-error,Absent,population-general,Not-applicable,category-error,Absent,population-general,Absent,population-general,Absent,population-general,Moderate,general,free-with-registration,2026-07-12,7,0.8.0,1.5
single-job-satisfaction,Single-item overall job satisfaction (Wanous tradition),single-item,Not-applicable,category-error,High,direct,Absent,category-error,Low,direct,Not-applicable,category-error,Absent,population-general,Not-applicable,category-error,Absent,population-general,Low,direct,no-formal-licence,2026-07-12 (no instrument licence exists to verify; non-proprietary generic item),12,0.8.0,1.5
single-stress,"Single-item perceived stress measure (Elo tradition, SISQ)",single-item,Not-applicable,category-error,Moderate,direct,Low,direct,Low,direct,Not-applicable,category-error,Low,direct,Not-applicable,category-error,Absent,population-general,Low,direct,no-formal-licence,2026-07-12,10,0.8.0,1.5
single-fatigue,Single-item fatigue measure (Van Hooff),single-item,Not-applicable,category-error,Low,direct,Absent,population-general,Absent,population-general,Not-applicable,category-error,Absent,population-general,Not-applicable,category-error,Very low,direct,Very low,direct,no-formal-licence,2026-07-12,5,0.8.0,1.5
